"nct_id","overall_status","start_date","completion_date","phases","sponsor_name","sponsor_class","enrollment_count","conditions","countries","source_system"
"NCT01300273","Unknown","2011-02","2012-07","Phase 4","Shanghai Jiao Tong University School of Medicine","Other","60","Type 2 Diabetic Nephropathy","China","ClinicalTrials.gov"
"NCT07556354","Not Yet Recruiting","2026-04","2026-06","Not applicable","University of Alabama at Birmingham","Other","30","Blood Cholesterol|Blood Pressure Monitoring|Weight Change|BMI|Diabetes Education|Diabetes (DM)","United States","ClinicalTrials.gov"
"NCT01375166","Terminated","2013-03-06","2013-03-06","","Medical University of Vienna","Other","1","Diabetic Retinopathy","Austria","ClinicalTrials.gov"
"NCT01492166","Completed","2006-11","2007-06","","Novo Nordisk A/S","Industry","1935","Diabetes|Diabetes Mellitus, Type 2","Indonesia","ClinicalTrials.gov"
"NCT06974422","Completed","2024-08-01","2025-05-01","Not applicable","Umm Al-Qura University","Other","46","Cardiovascular Disease, Diabetes Mellitus Type 2|Peripheral Vascular Disorder Due to Diabetes Mellitus","Saudi Arabia","ClinicalTrials.gov"
"NCT06997731","Completed","2023-05-20","2025-02-01","Phase 1","Kafrelsheikh University","Other","20","Periodontitis and Diabetes|Periodontitis","Egypt","ClinicalTrials.gov"
"NCT06457802","Terminated","2024-06-12","2024-08-20","Not applicable","Vanderbilt University","Other","4","Type 2 Diabetes|Sedentary Behavior|Sedentary Time|Physical Activity","United States","ClinicalTrials.gov"
"NCT00529191","Completed","2007-07","2013-07","Phase 2","Children's Hospital of Philadelphia","Other","40","Type 1 Diabetes","United States","ClinicalTrials.gov"
"NCT03716791","Completed","2019-02-19","2021-08-11","Not applicable","Lindsey Miller","Other","43","Obesity","United States","ClinicalTrials.gov"
"NCT00642174","Completed","2008-04","2009-01","Phase 2","Eli Lilly and Company","Industry","35","Diabetes Mellitus|Coronary Artery Disease","United States","ClinicalTrials.gov"
"NCT04383990","Completed","2020-02-28","2020-11-30","Not applicable","King Abdullah International Medical Research Center","Other","185","Type1diabetes|Fasting|Insulin","Saudi Arabia","ClinicalTrials.gov"
"NCT00223613","Unknown","1997-08","2005-08","Phase 3","University of Turku","Other","240","Type 1 Diabetes","Finland","ClinicalTrials.gov"
"NCT04556760","Completed","2020-11-26","2021-06-09","Phase 2","AstraZeneca","Industry","46","Diabetes Mellitus, Type 2","Germany","ClinicalTrials.gov"
"NCT02067962","Completed","2014-03-05","2015-06-24","Not applicable","University Hospital, Montpellier","Other","30","Arthritis, Juvenile Rheumatoid","","ClinicalTrials.gov"
"NCT00454662","Completed","2007-04","2011-09","Phase 4","COLM Study Research Organization","Other","5141","Hypertension|Cardiovascular Disease|Diabetes","Japan","ClinicalTrials.gov"
"NCT05777746","Unknown","2022-11-29","2024-06","Not applicable","UMC Utrecht","Other","140","Diabetes Mellitus, Type 2|Diet, Vegetarian|Diet, Vegan|Cardiometabolic Risk Factors|Cholesterol, LDL|Blood Pressure|Glycemic Control|Diet Therapy","Netherlands","ClinicalTrials.gov"
"NCT03957603","Completed","2019-05-16","2023-12-31","Not applicable","Capital Medical University","Other","100","Medical Nutrition Therapy|Gestational Diabetes Mellitus|Adverse Pregnancy Outcomes|Fasting Plasma Glucose|HbA1c|Gestational Weight Gain","China","ClinicalTrials.gov"
"NCT00993603","Completed","2010-09","2012-10","Not applicable","The Royal Bournemouth Hospital","Other","66","Type 2 Diabetes|Obesity","United Kingdom","ClinicalTrials.gov"
"NCT00000161","Unknown","1993-08","","Phase 3","National Eye Institute (NEI)","Nih","0","Macular Degeneration|Cataract","","ClinicalTrials.gov"
"NCT03823027","Completed","2019-01-28","2019-10-02","Not applicable","Sigrid Therapeutics AB","Industry","43","PreDiabetes|Pre Diabetes|Prediabetic State|Type2 Diabetes|Type2 Diabetes Mellitus|Overweight|Obese","Finland|Sweden","ClinicalTrials.gov"
"NCT01248442","Completed","2009-11","2010-06","Phase 4","Medical University of Graz","Other","60","Healthy Humans","Austria","ClinicalTrials.gov"
"NCT05921461","Completed","2022-05-01","2023-03-16","","Votis Subdermal Imaging Technologies LTD","Industry","60","Peripheral Arterial Disease|Diabetes Mellitus","Israel","ClinicalTrials.gov"
"NCT06111586","Recruiting","2023-12-11","2030-10-29","Phase 2","Sanofi","Industry","192","Type 1 Diabetes Mellitus","United States|Austria|Belgium|Canada|Czechia|Denmark|Finland|France|Germany|Hungary|Italy|Poland|Slovenia|Spain|Sweden|United Kingdom","ClinicalTrials.gov"
"NCT00067886","Completed","2003-03","2008-12","","Arkansas Children's Hospital Research Institute","Other","330","Diabetes Mellitus, Type 1|Diabetic Nephropathy","United States","ClinicalTrials.gov"
"NCT04223973","Completed","2020-01-29","2021-06-01","Not applicable","Medtrum France","Industry","93","Diabetes Mellitus","France","ClinicalTrials.gov"
"NCT03130673","Completed","2014-09-01","2017-12-31","","Hospital del NiÃ±o ""Dr. JosÃ© RenÃ¡n Esquivel""","Other","104","Hip Fractures","Panama","ClinicalTrials.gov"
"NCT06445569","Completed","2021-12-20","2023-06-08","Not applicable","Kalin Health, LLC","Industry","42","PreDiabetes|Aging","United States","ClinicalTrials.gov"
"NCT03816605","Completed","2014-04","2016-04","","First Affiliated Hospital, Sun Yat-Sen University","Other","36","Gestational Diabetes Mellitus","China","ClinicalTrials.gov"
"NCT03881956","Completed","2015-01-01","2016-06-23","Not applicable","Istanbul University","Other","88","Gestational Diabetes Mellitus in Pregnancy","","ClinicalTrials.gov"
"NCT01999322","Completed","2013-11-19","2014-05-14","Phase 3","Novo Nordisk A/S","Industry","37","Diabetes|Diabetes Mellitus, Type 1","United States|Germany","ClinicalTrials.gov"
"NCT02632929","Completed","2015-05-30","2019-09-30","","Boise VA Medical Center","Fed","20","Diabetic Foot Ulcer","United States","ClinicalTrials.gov"
"NCT02500329","Unknown","2014-09","","Phase 4","Seoul National University Hospital","Other","54","Endothelial Function|Type 2 Diabetes|Gemigliptin|Acarbose","South Korea","ClinicalTrials.gov"
"NCT06441591","Recruiting","2024-07-10","2025-06-01","Phase 2|Phase 3","Ain Shams University","Other","64","Diabetic Kidney Disease|Diabetic Nephropathies","Egypt","ClinicalTrials.gov"
"NCT02936791","Recruiting","2016-04","2031-06","","University of Kansas Medical Center","Other","250","Polycystic Kidney Disease","United States","ClinicalTrials.gov"
